OrderID,Product,Category,Quantity,Price,Date,CustomerID
1001,Sunglasses,Accessories,7,59.39,2024-10-19,516
1002,Cotton T-Shirt,Clothing,1,82.83,2024-07-10,510
1003,Hoodie,Clothing,4,77.82,2024-09-25,532
1004,Cap,Accessories,2,19.36,2024-10-27,544
1005,Leather Belt,Accessories,3,91.9,2024-09-16,545
1006,Smartwatch,Accessories,1,78.16,2024-07-10,520
1007,Smartwatch,Accessories,2,5.5,2024-09-27,509
1008,Golf Shoes,Shoe,1,75.05,2024-04-13,534
1009,Golf Shoes,Shoe,8,75.06,2024-07-22,531
1010,Shirt,Clothing,4,52.2,2024-07-02,519
1011,Golf Shoes,Shoe,3,9.37,2024-08-04,547
1012,Jeans,Clothing,1,60.09,2024-03-31,531
1013,Shirt,Clothing,2,77.75,2024-07-16,530
1014,Leather Belt,Accessories,3,30.73,2024-02-08,547
1015,Cap,Accessories,3,68.37,2024-07-15,524
1016,Leather Belt,Accessories,6,38.62,2024-03-19,533
1017,Sunglasses,Accessories,8,59.52,2024-08-04,518
1018,Cotton T-Shirt,Clothing,6,41.53,2024-11-11,521
1019,Cotton T-Shirt,Clothing,2,33.86,2024-04-03,531
1020,Smartwatch,Accessories,2,86.31,2024-06-20,539
1021,Knee Length Shorts,Clothing,7,76.61,2024-02-12,542
1022,Jeans,Clothing,1,37.82,2024-05-11,541
1023,Golf Shoes,Shoe,1,46.29,2024-03-17,543
1024,Running Shoes,Shoe,7,70.71,2024-08-19,504
1025,Running Shoes,Shoe,9,82.05,2024-02-08,526
1026,Canvas Shoes,Shoe,5,70.01,2024-02-23,533
1027,Sunglasses,Accessories,1,56.39,2024-05-30,544
1028,Cotton T-Shirt,Clothing,5,95.67,2024-07-06,533
1029,Running Shoes,Shoe,1,78.54,2024-11-05,549
1030,Golf Shoes,Shoe,9,15.98,2024-07-04,520
1031,Golf Shoes,Shoe,4,58.02,2024-11-13,541
1032,Golf Shoes,Shoe,9,43.91,2024-05-14,508
1033,Running Shoes,Shoe,2,80.52,2024-06-21,536
1034,Cap,Accessories,7,9.24,2024-09-25,508
1035,Golf Shoes,Shoe,2,44.02,2024-04-24,531
1036,Golf Shoes,Shoe,4,35.24,2024-08-08,522
1037,Canvas Shoes,Shoe,6,18.41,2024-02-08,542
1038,Sunglasses,Accessories,2,40.99,2024-12-05,547
1039,Jacket,Clothing,2,68.92,2024-08-29,519
1040,Hoodie,Clothing,2,39.36,2024-08-08,520
1041,Canvas Shoes,Shoe,3,60.1,2024-05-25,523
1042,Knee Length Shorts,Clothing,5,61.32,2024-06-12,524
1043,Jeans,Clothing,9,60.78,2024-12-26,543
1044,Shirt,Clothing,6,55.31,2024-11-23,524
1045,Hoodie,Clothing,9,16.11,2024-09-15,536
1046,Shirt,Clothing,5,25.75,2024-07-08,509
1047,Socks,Accessories,6,81.01,2024-11-24,540
1048,Jeans,Clothing,8,52.72,2024-09-20,516
1049,Leather Belt,Accessories,3,72.08,2024-08-09,527
1050,Socks,Accessories,2,59.14,2024-11-27,545
1051,Leather Belt,Accessories,3,8.68,2024-06-22,537
1052,Cotton T-Shirt,Clothing,9,80.64,2024-04-01,513
1053,Knee Length Shorts,Clothing,6,11.11,2024-04-15,502
1054,Cap,Accessories,4,94.6,2024-09-01,512
1055,Jeans,Clothing,3,25.46,2024-10-31,541
